ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location
0014 024 031808,0014,024,1646 N FULTON AVE,03/18/2008,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30764403, -76.64662325)"
0014 025 030612,0014,025,1648 N FULTON AVE,03/06/2012,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30768264, -76.64662547)"
0014 026 060315,0014,026,1650 N FULTON AVE,06/03/2015,SANDTOWN-WINCHESTER,WESTERN,7,"(39.3077207, -76.64662762)"
0014 027 122418,0014,027,1652 N FULTON AVE,12/24/2018,Sandtown-Winchester,Western,7,"(39.30775966, -76.6466299)"
0014 029 040511,0014,029,1601 MCKEAN AVE,04/05/2011,SANDTOWN-WINCHESTER,WESTERN,7,"(39.3067485, -76.64689472)"
0014 031 031611,0014,031,1605 MCKEAN AVE,03/16/2011,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30682493, -76.64689922)"
0014 032 081011,0014,032,1607 MCKEAN AVE,08/10/2011,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30686325, -76.64690152)"
0014 036 013114,0014,036,1615 MCKEAN AVE,01/31/2014,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30701731, -76.6469106)"
0014 038 091809,0014,038,1619 MCKEAN AVE,09/18/2009,SANDTOWN-WINCHESTER,WESTERN,7,"(39.3070933, -76.64691508)"
0014 041 013114,0014,041,1625 MCKEAN AVE,01/31/2014,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30720739, -76.64692179)"
0014 042 111307,0014,042,1627 MCKEAN AVE,11/13/2007,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30724582, -76.64692399)"
0014 044 040414,0014,044,1631 MCKEAN AVE,04/04/2014,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30732257, -76.64692843)"
0014 045 040414,0014,045,1633 MCKEAN AVE,04/04/2014,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30736085, -76.64693064)"
0014 049 011414,0014,049,1641 MCKEAN AVE,01/14/2014,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30751499, -76.64693949)"
0014 054 040309,0014,054,1651 MCKEAN AVE,04/03/2009,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30770823, -76.6469506)"
0014 055 061005,0014,055,1653 MCKEAN AVE,06/10/2005,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30774726, -76.64695285)"
0015 004 010813,0015,004,1607 N FULTON AVE,01/08/2013,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30690435, -76.64595229)"
0015 005 112415,0015,005,1609 N FULTON AVE,11/24/2015,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30694637, -76.64595501)"
0015 006 072512,0015,006,1611 N FULTON AVE,07/25/2012,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30698593, -76.64594245)"
0015 007 071913,0015,007,1613 N FULTON AVE,07/19/2013,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30702201, -76.64594053)"
0015 008 121613,0015,008,1615 N FULTON AVE,12/16/2013,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30705925, -76.64594297)"
0015 009 022808,0015,009,1617 N FULTON AVE,02/28/2008,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30709639, -76.64594539)"
0015 010 011516,0015,010,1619 N FULTON AVE,01/15/2016,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30713478, -76.64594791)"
0017 005 012219,0017,005,1608 N CALHOUN ST,01/22/2019,Sandtown-Winchester,Western,7,"(39.30714238, -76.64277091)"
0017 012 092318,0017,012,1622 N CALHOUN ST,09/23/2018,Sandtown-Winchester,Western,7,"(39.30735883, -76.64293395)"
1101 041 090317,1101,041,1838 N BOND ST,09/03/2017,Oliver,Eastern,12,"(39.31144629, -76.59730047)"
0001 045 122418,0001,045,1823 N PULASKI ST,12/24/2018,Easterwood,Western,7,"(39.30921335, -76.65101962)"
0002 029 091318,0002,029,1931 W NORTH AVE,09/13/2018,Easterwood,Western,7,"(39.30949028, -76.64918957)"
0002 059 110118,0002,059,1810 APPLETON ST,11/01/2018,Easterwood,Western,7,"(39.30903808, -76.64923881)"
0003 003 120918,0003,003,1804 N FULTON AVE,12/09/2018,Sandtown-Winchester,Western,7,"(39.30903069, -76.64671903)"
0003 008 101418,0003,008,1814 N FULTON AVE,10/14/2018,Sandtown-Winchester,Western,7,"(39.30922329, -76.64687917)"
0007 057 031116,0007,057,1734 APPLETON ST,03/11/2016,EASTERWOOD,WESTERN,7,"(39.30856758, -76.64921157)"
0020 031 092318,0020,031,1805 BAKER ST,09/23/2018,Sandtown-Winchester,Western,7,"(39.30644849, -76.64684483)"
0020 048 052711,0020,048,1509 N MONROE ST,05/27/2011,SANDTOWN-WINCHESTER,WESTERN,7,"(39.3057919, -76.64766813)"
0020 049B 071307,0020,049B,1836 PRESSTMAN ST,07/13/2007,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30543398, -76.64765913)"
0020 049E 021011,0020,049E,1830 PRESSTMAN ST,02/10/2011,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30543881, -76.64751301)"
0003 021 011419,0003,021,1813 W NORTH AVE,01/14/2019,Sandtown-Winchester,Western,7,"(39.30962215, -76.64691661)"
0003 048 122418,0003,048,1813 N MONROE ST,12/24/2018,Sandtown-Winchester,Western,7,"(39.30915076, -76.64785661)"
0020 079 053017,0020,079,1546 MCKEAN AVE,05/30/2017,Sandtown-Winchester,Western,7,"(39.30610321, -76.6473582)"
0020 083 120317,0020,083,1538 MCKEAN AVE,12/03/2017,Sandtown-Winchester,Western,7,"(39.30596002, -76.64735063)"
0021 009 110118,0021,009,1518 N MOUNT ST,11/01/2018,Sandtown-Winchester,Western,7,"(39.30598013, -76.64504181)"
0021 075 080617,0021,075,1710 PRESSTMAN ST,08/06/2017,Sandtown-Winchester,Western,7,"(39.30553542, -76.64512031)"
0026 004 100818,0026,004,1406 N FULTON AVE,10/08/2018,Sandtown-Winchester,Western,7,"(39.30441259, -76.64639187)"
0026 014 110504,0026,014,1426 N FULTON AVE,11/05/2004,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30489316, -76.64644302)"
0006 004 091318,0006,004,1706 N PAYSON ST,09/13/2018,Easterwood,Western,7,"(39.30801171, -76.65004888)"
0009 012 122418,0009,012,1723 N FULTON AVE,12/24/2018,Sandtown-Winchester,Western,7,"(39.30849105, -76.64602253)"
0012 092 110818,0012,092,1616 N MONROE ST,11/08/2018,Easterwood,Western,7,"(39.30701274, -76.64824934)"
0017 004 102116,0017,004,1606 N CALHOUN ST,10/21/2016,Sandtown-Winchester,Western,7,"(39.3071208, -76.64274166)"
0026 049 040212,0026,049,1855 KAVANAUGH ST,04/02/2012,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30455339, -76.64769049)"
0026 088 120117,0026,088,1825 PRESSTMAN ST,12/01/2017,Sandtown-Winchester,Western,7,"(39.30506379, -76.64723805)"
0027 025 063016,0027,025,1448 N MOUNT ST,06/30/2016,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30522403, -76.64499516)"
0013A030 122418,0013A,030,1603 N MONROE ST,12/24/2018,Sandtown-Winchester,Western,7,"(39.30676301, -76.64772122)"
0013A033 120918,0013A,033,1609 N MONROE ST,12/09/2018,Sandtown-Winchester,Western,7,"(39.30687937, -76.64773169)"
0013A045 110118,0013A,045,1633 N MONROE ST,11/01/2018,Sandtown-Winchester,Western,7,"(39.30733396, -76.64775953)"
0014 019 011619,0014,019,1636 N FULTON AVE,01/16/2019,Sandtown-Winchester,Western,7,"(39.30745058, -76.64661211)"
0411 002 091317,0411,002,1202 MYRTLE AVE,09/13/2017,Upton,Central,11,"(39.29830447, -76.63212354)"
0020 009 012219,0020,009,1524 N FULTON AVE,01/22/2019,Sandtown-Winchester,Western,7,"(39.30580363, -76.64649588)"
0002 069 030918,0002,069,1825 APPLETON ST,03/09/2018,Easterwood,Western,7,"(39.30931305, -76.64874425)"
0003 001 040816,0003,001,1800 N FULTON AVE,04/08/2016,SANDTOWN-WINCHESTER,WESTERN,7,"(39.3089469, -76.64671212)"
0019 068 041116,0019,068,1516 N MONROE ST,04/11/2016,EASTERWOOD,WESTERN,7,"(39.30573033, -76.64818861)"
0027 046 012207,0027,046,1421 N FULTON AVE,01/22/2007,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30468389, -76.64581998)"
0027 051 071509,0027,051,1431 N FULTON AVE,07/15/2009,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30486677, -76.64583084)"
0027 054 102611,0027,054,1437 N FULTON AVE,10/26/2011,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30497641, -76.64583732)"
0031 002 031309,0031,002,1312 N FULTON AVE,03/13/2009,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30349384, -76.64634061)"
0031 056 112912,0031,056,1836 LAURENS ST,11/29/2012,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30327441, -76.64746532)"
0031 057 032316,0031,057,1834 LAURENS ST,03/23/2016,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30327593, -76.64742143)"
0032 001 062817,0032,001,1300 N MOUNT ST,06/28/2017,Sandtown-Winchester,Western,7,"(39.30330114, -76.64491184)"
0032 010 111408,0032,010,1320 N MOUNT ST,11/14/2008,SANDTOWN-WINCHESTER,WESTERN,7,"(39.3037049, -76.64493532)"
0019 068H 100808,0019,068H,1532 N MONROE ST,10/08/2008,EASTERWOOD,WESTERN,7,"(39.30605328, -76.64820694)"
0032 013 070609,0032,013,1326 N MOUNT ST,07/06/2009,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30382229, -76.64494228)"
